Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
Ibimirim (PE),2021,330119,13788,316331,99352,8579,75392,133008
Ibirajuba (PE),2021,85527,3184,82343,17815,2186,17772,44570
Igarassu (PE),2021,3471427,565673,2905754,65720,1118978,1156041,565015
Iguaracy (PE),2021,112369,4795,107574,18880,3305,26011,59377
Inajá (PE),2021,196880,11818,185062,21351,7336,48665,107711
Ingazeira (PE),2021,50497,1591,48907,7080,1506,11102,29218
Ipojuca (PE),2021,14929346,3247090,11682256,189929,7078373,3544329,869625
Ipubi (PE),2021,340374,20146,320228,17123,68366,88116,146624
Itacuruba (PE),2021,71286,2326,68960,8434,2303,15873,42351
Itaíba (PE),2021,283413,13860,269553,58431,7146,75347,128630
Ilha de Itamaracá (PE),2021,299232,18889,280343,7123,25330,111365,136525
Itambé (PE),2021,522657,46279,476378,97936,17690,185377,175375
Itapetim (PE),2021,139873,5964,133909,18359,5773,37999,71778
Itapissuma (PE),2021,2383641,506778,1876862,30023,1129463,550803,166573
Itaquitinga (PE),2021,160857,5341,155515,33642,7539,33463,80872
Jaboatão dos Guararapes (PE),2021,16133556,3307783,12825773,92991,2312757,7568042,2851983
Jaqueira (PE),2021,111801,4188,107613,8838,3524,26019,69232
Jataúba (PE),2021,154862,7289,147573,12988,4096,41388,89101
Jatobá (PE),2021,153793,10323,143470,15671,6098,42334,79367
João Alfredo (PE),2021,316644,20886,295758,9822,42103,92028,151805
Joaquim Nabuco (PE),2021,181310,12375,168935,8706,39952,41871,78406
Jucati (PE),2021,129270,3421,125849,37315,3038,24154,61343
Jupi (PE),2021,214224,8515,205709,56131,17411,47414,84754
Jurema (PE),2021,132840,4306,128534,16174,4550,29335,78475
Lagoa do Carro (PE),2021,300635,21611,279024,85625,11199,78057,104143
Lagoa de Itaenga (PE),2021,482859,39596,443262,33368,162881,127273,119740
Lagoa do Ouro (PE),2021,139223,4652,134571,34520,3195,27305,69552
Lagoa dos Gatos (PE),2021,135443,4872,130571,21770,4985,28229,75588
Lagoa Grande (PE),2021,456844,32013,424831,153715,32672,109355,129089
Lajedo (PE),2021,585576,63587,521989,56559,30779,231429,203222
Limoeiro (PE),2021,838343,89265,749078,38356,68987,382509,259225
Macaparana (PE),2021,283578,22806,260773,33241,11436,89975,126121
Machados (PE),2021,216295,13808,202487,33081,40947,49813,78645
Manari (PE),2021,139153,3748,135406,8681,3322,24511,98892
Maraial (PE),2021,92490,2350,90139,5645,2337,19995,62162
Mirandiba (PE),2021,163406,15103,148303,8121,8569,58173,73440
Moreno (PE),2021,892506,88719,803787,64912,175308,279647,283920
Nazaré da Mata (PE),2021,688468,77981,610487,55048,144044,235329,176066
Olinda (PE),2021,5788250,695035,5093215,3884,633838,2887532,1567961
Orobó (PE),2021,398794,16324,382470,193174,7939,72462,108895
Orocó (PE),2021,186448,10892,175555,50997,7424,35426,81708
Ouricuri (PE),2021,780513,66236,714276,35603,70981,302230,305462
Palmares (PE),2021,924146,107351,816794,18402,29520,484185,284687
Palmeirina (PE),2021,79959,1783,78176,17351,2171,15334,43319
Panelas (PE),2021,229556,8101,221455,21253,6740,58067,135396
Paranatama (PE),2021,285773,10540,275234,21883,153064,30355,69932
Parnamirim (PE),2021,213190,17312,195878,16420,7707,66876,104874
Passira (PE),2021,264547,15064,249483,14458,9030,81096,144898
Paudalho (PE),2021,926328,45181,881147,358993,55295,204608,262252
Paulista (PE),2021,5591652,758639,4833013,14675,796496,2620163,1401680
Pedra (PE),2021,306398,19183,287216,51635,76902,58877,99801
Pesqueira (PE),2021,869651,96068,773583,48340,83534,318475,323233
Petrolândia (PE),2021,1675876,53434,1622442,62540,1104722,266999,188181
Petrolina (PE),2021,7994036,987725,7006312,835938,916340,3494359,1759674
Poção (PE),2021,102107,5842,96265,6609,2933,28285,58438
Pombos (PE),2021,532583,57383,475200,67006,110827,161893,135475
Primavera (PE),2021,291696,16700,274996,59752,71466,59295,84483
Quipapá (PE),2021,192325,9309,183016,15841,5762,45538,115875
Quixaba (PE),2021,67064,2617,64447,8922,1804,16748,36973
Recife (PE),2021,54970305,9802417,45167888,60088,6208334,31199529,7699937
Riacho das Almas (PE),2021,260563,13870,246693,66166,15962,62353,102213
Ribeirão (PE),2021,576407,37395,539011,97905,50220,167869,223018
Rio Formoso (PE),2021,379871,21102,358770,74281,65189,89161,130139
Sairé (PE),2021,176225,8869,167357,59072,6481,45927,55877
Salgadinho (PE),2021,80938,2951,77987,5196,1847,17333,53611
Salgueiro (PE),2021,1002105,136381,865724,15847,72095,492140,285642
Saloá (PE),2021,171051,8676,162375,30621,8384,41102,82268
Sanharó (PE),2021,248264,14489,233775,30097,9987,67495,126197
Santa Cruz (PE),2021,133592,6163,127428,14997,3764,30544,78124
Santa Cruz da Baixa Verde (PE),2021,113554,6894,106660,5568,5999,31413,63680
Santa Cruz do Capibaribe (PE),2021,1925734,323815,1601918,4629,228825,886124,482340
Santa Filomena (PE),2021,111830,4221,107609,10157,4374,23547,69532
Santa Maria da Boa Vista (PE),2021,564000,28645,535355,187333,23886,116386,207750
Santa Maria do Cambucá (PE),2021,122262,7577,114685,2730,7417,35001,69537
Santa Terezinha (PE),2021,114824,6520,108304,9066,9968,30704,58565
São Benedito do Sul (PE),2021,117017,3233,113784,8696,2824,22833,79430
São Bento do Una (PE),2021,1485706,46896,1438810,917838,46600,195298,279074
São Caitano (PE),2021,447679,46739,400940,34278,49095,144390,173176
São João (PE),2021,390211,18306,371905,166128,12309,79225,114242
São Joaquim do Monte (PE),2021,185467,7606,177861,17395,6234,46770,107462
São José da Coroa Grande (PE),2021,291007,30776,260231,12899,12477,122077,112779
São José do Belmonte (PE),2021,341544,29430,312113,21216,28856,110236,151805
São José do Egito (PE),2021,441117,39989,401128,66852,22212,151818,160246
